name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude,raw_url
Зона Отдыха Ажарлы Жагалау,020000,,8 (775) 702 2239,,,51.1605227,70.8935736,"https://www.google.com/maps/place/Jansaya/@51.1605227,70.8935736,10z/data=!4m11!1m3!2m2!1z0JDRgdGC0LDQvdCwINCX0L7QvdCwINC-0YLQtNGL0YXQsA!6e1!3m6!1s0x4245779876ceeb15:0x8284328d58bb6cc6!8m2!3d51.0708019!4d71.7496973!15sCiLQkNGB0YLQsNC90LAg0JfQvtC90LAg0L7RgtC00YvRhdCwWiQiItCw0YHRgtCw0L3QsCDQt9C-0L3QsCDQvtGC0LTRi9GF0LCSAQtoaWtpbmdfYXJlYZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSV016bFVkVlIzRUFFqgFlEAEqGSIV0LfQvtC90LAg0L7RgtC00YvRhdCwKA0yHhABIhoJ-pj0S6L-MEtVVTMeYJgo823wUPGeKOgtezImEAIiItCw0YHRgtCw0L3QsCDQt9C-0L3QsCDQvtGC0LTRi9GF0LDgAQD6AQUI2AEQQg!16s%2Fg%2F11mhxrldhf?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D"
"Гостевой Дом ""Dacha""","ул. Аккемер 32/3, Астана 010029",,8 (7172) 49 44 33,,,51.1605227,70.8935736,"https://www.google.com/maps/place/%D0%97%D0%BE%D0%BD%D0%B0+%D0%9E%D1%82%D0%B4%D1%8B%D1%85%D0%B0+%D0%90%D0%B6%D0%B0%D1%80%D0%BB%D1%8B+%D0%96%D0%B0%D0%B3%D0%B0%D0%BB%D0%B0%D1%83/@51.1605227,70.8935736,10z/data=!4m11!1m3!2m2!1z0JDRgdGC0LDQvdCwINCX0L7QvdCwINC-0YLQtNGL0YXQsA!6e1!3m6!1s0x424f88a926952cd5:0xfabf586b2c2d1f8f!8m2!3d51.3401508!4d71.7074411!15sCiLQkNGB0YLQsNC90LAg0JfQvtC90LAg0L7RgtC00YvRhdCwWiQiItCw0YHRgtCw0L3QsCDQt9C-0L3QsCDQvtGC0LTRi9GF0LCSAQViZWFjaJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOS09YWkVTM1IzUlJBQqoBZRABKhkiFdC30L7QvdCwINC-0YLQtNGL0YXQsCgNMh4QASIaCfqY9Eui_jBLVVUzHmCYKPNt8FDxnijoLXsyJhACIiLQsNGB0YLQsNC90LAg0LfQvtC90LAg0L7RgtC00YvRhdCw4AEA-gEECAAQNA!16s%2Fg%2F11d_7x243j?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D"
Nomad Spa,"Учётный квартал 048, строение 279 Село, Софиевка 010028",nomad-spa.kz,8 (700) 770 8282,,,51.1605227,70.8935736,"https://www.google.com/maps/place/%D0%93%D0%BE%D1%81%D1%82%D0%B5%D0%B2%D0%BE%D0%B9+%D0%94%D0%BE%D0%BC+%22Dacha%22/@51.1605227,70.8935736,10z/data=!4m14!1m3!2m2!1z0JDRgdGC0LDQvdCwINCX0L7QvdCwINC-0YLQtNGL0YXQsA!6e1!3m9!1s0x424583777e77fb03:0x7f882ed2eaa0d14f!5m2!4m1!1i2!8m2!3d51.093966!4d71.495317!15sCiLQkNGB0YLQsNC90LAg0JfQvtC90LAg0L7RgtC00YvRhdCwWiQiItCw0YHRgtCw0L3QsCDQt9C-0L3QsCDQvtGC0LTRi9GF0LCSAQVob3RlbJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOc05GOWhSVEJCUlJBQqoBZRABKhkiFdC30L7QvdCwINC-0YLQtNGL0YXQsCgNMh4QASIaCfqY9Eui_jBLVVUzHmCYKPNt8FDxnijoLXsyJhACIiLQsNGB0YLQsNC90LAg0LfQvtC90LAg0L7RgtC00YvRhdCw4AEA-gEECAAQQQ!16s%2Fg%2F11bzs3195r?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D"
Зона отдыха Жетысу,"Дачи, пер. Коянды, Астана 020000",instagram.com,8 (700) 400 4040,,,51.1605227,70.8935736,"https://www.google.com/maps/place/Nomad+Spa/@51.1605227,70.8935736,10z/data=!4m11!1m3!2m2!1z0JDRgdGC0LDQvdCwINCX0L7QvdCwINC-0YLQtNGL0YXQsA!6e1!3m6!1s0x424f8fbb4a4f5b11:0xf37ef4caa83fed1f!8m2!3d51.3375194!4d71.7083256!15sCiLQkNGB0YLQsNC90LAg0JfQvtC90LAg0L7RgtC00YvRhdCwWiQiItCw0YHRgtCw0L3QsCDQt9C-0L3QsCDQvtGC0LTRi9GF0LCSAQxob2xpZGF5X2hvbWWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTndjWE41YjJ4blJSQUKqAWUQASoZIhXQt9C-0L3QsCDQvtGC0LTRi9GF0LAoDTIeEAEiGgn6mPRLov4wS1VVMx5gmCjzbfBQ8Z4o6C17MiYQAiIi0LDRgdGC0LDQvdCwINC30L7QvdCwINC-0YLQtNGL0YXQsOABAPoBBAgAED0!16s%2Fg%2F11t4m24nc1?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D"
Центральный Парк,"5C4C+C2, Астана 020000",,,,,51.1605227,70.8935736,"https://www.google.com/maps/place/%D0%97%D0%BE%D0%BD%D0%B0+%D0%BE%D1%82%D0%B4%D1%8B%D1%85%D0%B0+%D0%96%D0%B5%D1%82%D1%8B%D1%81%D1%83/@51.1605227,70.8935736,10z/data=!4m11!1m3!2m2!1z0JDRgdGC0LDQvdCwINCX0L7QvdCwINC-0YLQtNGL0YXQsA!6e1!3m6!1s0x424f87b197c8e4af:0xa115ae4bf0390e3a!8m2!3d51.3253031!4d71.6920444!15sCiLQkNGB0YLQsNC90LAg0JfQvtC90LAg0L7RgtC00YvRhdCwWiQiItCw0YHRgtCw0L3QsCDQt9C-0L3QsCDQvtGC0LTRi9GF0LCSAQtoaWtpbmdfYXJlYZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQydE9kRTFXUWpOVFZXZzFVbXRuTVZoNlFYUmxiVFZJWVVaS1UxSXdSUkFCqgFlEAEqGSIV0LfQvtC90LAg0L7RgtC00YvRhdCwKA0yHhABIhoJ-pj0S6L-MEtVVTMeYJgo823wUPGeKOgtezImEAIiItCw0YHRgtCw0L3QsCDQt9C-0L3QsCDQvtGC0LTRi9GF0LDgAQD6AQUIzwMQMw!16s%2Fg%2F11nfqjl029?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D"
Гостевой дом Наша Столица,"4CRF+R66, Астана 020000",,8 (775) 224 8328,,,51.1605227,70.8935736,"https://www.google.com/maps/place/%D0%A6%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D0%9F%D0%B0%D1%80%D0%BA/@51.1605227,70.8935736,10z/data=!4m11!1m3!2m2!1z0JDRgdGC0LDQvdCwINCX0L7QvdCwINC-0YLQtNGL0YXQsA!6e1!3m6!1s0x424586c58884bee3:0x3c695a5bf1c2492b!8m2!3d51.1568518!4d71.4191929!15sCiLQkNGB0YLQsNC90LAg0JfQvtC90LAg0L7RgtC00YvRhdCwWiQiItCw0YHRgtCw0L3QsCDQt9C-0L3QsCDQvtGC0LTRi9GF0LCSAQljaXR5X3BhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmFhSEpITUVaUkVBRaoBZRABKhkiFdC30L7QvdCwINC-0YLQtNGL0YXQsCgNMh4QASIaCfqY9Eui_jBLVVUzHmCYKPNt8FDxnijoLXsyJhACIiLQsNGB0YLQsNC90LAg0LfQvtC90LAg0L7RgtC00YvRhdCw4AEA-gEECB0QOg!16s%2Fg%2F11dfpsggtv?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D"
Три Пескаря,"Садовая 11/1, ул. Енглик-Кебек 11/1, Астана 010000",tri-peskarya.kz,8 (7172) 30 03 90,,,51.1605227,70.8935736,"https://www.google.com/maps/place/%D0%93%D0%BE%D1%81%D1%82%D0%B5%D0%B2%D0%BE%D0%B9+%D0%B4%D0%BE%D0%BC+%D0%9D%D0%B0%D1%88%D0%B0+%D0%A1%D1%82%D0%BE%D0%BB%D0%B8%D1%86%D0%B0/@51.1605227,70.8935736,10z/data=!4m11!1m3!2m2!1z0JDRgdGC0LDQvdCwINCX0L7QvdCwINC-0YLQtNGL0YXQsA!6e1!3m6!1s0x424586bb9db0920d:0xdabbf47994a9e5bf!8m2!3d51.1420427!4d71.4230258!15sCiLQkNGB0YLQsNC90LAg0JfQvtC90LAg0L7RgtC00YvRhdCwWiQiItCw0YHRgtCw0L3QsCDQt9C-0L3QsCDQvtGC0LTRi9GF0LCSAQtndWVzdF9ob3VzZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSdGJrOUhWelZCUlJBQqoBZRABKhkiFdC30L7QvdCwINC-0YLQtNGL0YXQsCgNMh4QASIaCfqY9Eui_jBLVVUzHmCYKPNt8FDxnijoLXsyJhACIiLQsNGB0YLQsNC90LAg0LfQvtC90LAg0L7RgtC00YvRhdCw4AEA-gEECAAQPQ!16s%2Fg%2F11crydh3cm?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D"
"""Теньговка""","ж.м, ул. Султанмахмута Торайгырова 2/1, Астана 020000",,8 (701) 800 2266,,,51.1605227,70.8935736,"https://www.google.com/maps/place/%D0%A2%D1%80%D0%B8+%D0%9F%D0%B5%D1%81%D0%BA%D0%B0%D1%80%D1%8F/@51.1605227,70.8935736,10z/data=!4m14!1m3!2m2!1z0JDRgdGC0LDQvdCwINCX0L7QvdCwINC-0YLQtNGL0YXQsA!6e1!3m9!1s0x42458127d0603847:0xa4d0f3deeb5608f7!5m2!4m1!1i2!8m2!3d51.1736272!4d71.3441386!15sCiLQkNGB0YLQsNC90LAg0JfQvtC90LAg0L7RgtC00YvRhdCwWiQiItCw0YHRgtCw0L3QsCDQt9C-0L3QsCDQvtGC0LTRi9GF0LCSAQVob3RlbJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSV2RHSnBibEJSRUFFqgFlEAEqGSIV0LfQvtC90LAg0L7RgtC00YvRhdCwKA0yHhABIhoJ-pj0S6L-MEtVVTMeYJgo823wUPGeKOgtezImEAIiItCw0YHRgtCw0L3QsCDQt9C-0L3QsCDQvtGC0LTRi9GF0LDgAQD6AQQIIhA_!16s%2Fg%2F1hhwskn0w?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D"
База отдыха Qoiandy Resort,"Участок 213, Кояндинское водохранилище 010000",,8 (700) 400 4040,,,51.1605227,70.8935736,"https://www.google.com/maps/place/%22%D0%A2%D0%B5%D0%BD%D1%8C%D0%B3%D0%BE%D0%B2%D0%BA%D0%B0%22/@51.1605227,70.8935736,10z/data=!4m11!1m3!2m2!1z0JDRgdGC0LDQvdCwINCX0L7QvdCwINC-0YLQtNGL0YXQsA!6e1!3m6!1s0x42458761f1d849a3:0xb1dea8720c842285!8m2!3d51.14098!4d71.4276603!15sCiLQkNGB0YLQsNC90LAg0JfQvtC90LAg0L7RgtC00YvRhdCwWiQiItCw0YHRgtCw0L3QsCDQt9C-0L3QsCDQvtGC0LTRi9GF0LCSAQxwdWJsaWNfc2F1bmGaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjFTYTAweFJrTlVXRVpRWVc1R05XSnVVakJSYlVwMFpFTXdNRmx1WXhBQqoBZRABKhkiFdC30L7QvdCwINC-0YLQtNGL0YXQsCgNMh4QASIaCfqY9Eui_jBLVVUzHmCYKPNt8FDxnijoLXsyJhACIiLQsNGB0YLQsNC90LAg0LfQvtC90LAg0L7RgtC00YvRhdCw4AEA-gEECAAQPA!16s%2Fg%2F11q83wnrz2?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D"
BEZPONTOV,"1, Пос Микрорайон 1, Жибек Жолы",,8 (702) 791 5448,,,51.1605227,70.8935736,"https://www.google.com/maps/place/%D0%91%D0%B0%D0%B7%D0%B0+%D0%BE%D1%82%D0%B4%D1%8B%D1%85%D0%B0+Qoiandy+Resort/@51.1605227,70.8935736,10z/data=!4m11!1m3!2m2!1z0JDRgdGC0LDQvdCwINCX0L7QvdCwINC-0YLQtNGL0YXQsA!6e1!3m6!1s0x424f87d3a65396b3:0x4d423d831ee5285c!8m2!3d51.3259278!4d71.6932095!15sCiLQkNGB0YLQsNC90LAg0JfQvtC90LAg0L7RgtC00YvRhdCwWiQiItCw0YHRgtCw0L3QsCDQt9C-0L3QsCDQvtGC0LTRi9GF0LCSAQtoaWtpbmdfYXJlYZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSaU1XSnhVakpuUlJBQqoBZRABKhkiFdC30L7QvdCwINC-0YLQtNGL0YXQsCgNMh4QASIaCfqY9Eui_jBLVVUzHmCYKPNt8FDxnijoLXsyJhACIiLQsNGB0YLQsNC90LAg0LfQvtC90LAg0L7RgtC00YvRhdCw4AEA-gEECBEQQA!16s%2Fg%2F11p6tqbyqc?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D"
Гостиница Адам и Ева город Астана,"ул. Кайрата Рыскулбекова 17, Астана 010000",,8 (778) 066 2706,,,51.1605227,70.8935736,"https://www.google.com/maps/place/BEZPONTOV/@51.1605227,70.8935736,10z/data=!4m11!1m3!2m2!1z0JDRgdGC0LDQvdCwINCX0L7QvdCwINC-0YLQtNGL0YXQsA!6e1!3m6!1s0x424579cb4df2c9bd:0xe27131fd40376253!8m2!3d51.0911454!4d71.7076325!15sCiLQkNGB0YLQsNC90LAg0JfQvtC90LAg0L7RgtC00YvRhdCwWiQiItCw0YHRgtCw0L3QsCDQt9C-0L3QsCDQvtGC0LTRi9GF0LCSAQtoaWtpbmdfYXJlYZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VST2JuWkRiSEJCUlJBQqoBZRABKhkiFdC30L7QvdCwINC-0YLQtNGL0YXQsCgNMh4QASIaCfqY9Eui_jBLVVUzHmCYKPNt8FDxnijoLXsyJhACIiLQsNGB0YLQsNC90LAg0LfQvtC90LAg0L7RgtC00YvRhdCw4AEA-gEECGoQQw!16s%2Fg%2F11tmwtvp1n?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D"
Гостиница Адам и Ева город Астана,"ул. Кайрата Рыскулбекова 17, Астана 010000",,8 (778) 066 2706,,,51.1605227,70.8935736,"https://www.google.com/maps/place/%D0%93%D0%BE%D1%81%D1%82%D0%B8%D0%BD%D0%B8%D1%86%D0%B0+%D0%90%D0%B4%D0%B0%D0%BC+%D0%B8+%D0%95%D0%B2%D0%B0+%D0%B3%D0%BE%D1%80%D0%BE%D0%B4+%D0%90%D1%81%D1%82%D0%B0%D0%BD%D0%B0/@51.1605227,70.8935736,10z/data=!4m13!1m3!2m2!1z0JDRgdGC0LDQvdCwINCX0L7QvdCwINC-0YLQtNGL0YXQsA!6e1!3m8!1s0x42458176f47533d1:0xa012d51aebb29ea8!5m2!4m1!1i2!8m2!3d51.1553359!4d71.4967428!16s%2Fg%2F11bzw8r2t0?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D"
